시군명,구/읍면동명,사고년도,사고유형구분,다발지역FID,다발지역ID,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보
광주시,오포읍,2018,스쿨존내어린이사고다발지,6503351,2019034,4161025022,41610001,경기도 광주시1,경기도 광주시 오포읍(광명초교 부근),3,3,0,1,2,0,37.359435520634,127.160781140638,"{""type"":""Polygon"",""coordinates"":[[[127.16347609,37.35943552],[127.1634243,37.35901762],[127.16327095,37.35861578],[127.16302191,37.35824544],[127.16268676,37.35792084],[127.16227837,37.35765444],[127.16181245,37.35745649],[127.1613069,37.35733459],[127.16078114,37.35729343],[127.16025538,37.35733459],[127.15974983,37.35745649],[127.15928391,37.35765444],[127.15887553,37.35792084],[127.15854038,37.35824544],[127.15829134,37.35861578],[127.15813798,37.35901762],[127.15808619,37.35943552],[127.15813798,37.35985342],[127.15829134,37.36025525],[127.15854038,37.36062558],[127.15887553,37.36095017],[127.15928391,37.36121656],[127.15974983,37.3614145],[127.16025538,37.36153639],[127.16078114,37.36157755],[127.1613069,37.36153639],[127.16181245,37.3614145],[127.16227837,37.36121656],[127.16268676,37.36095017],[127.16302191,37.36062558],[127.16327095,37.36025525],[127.1634243,37.35985342],[127.16347609,37.35943552]]]}"
안산시,상록구,2017,스쿨존내어린이사고다발지,6393995,2018027,4127110400,41271001,경기도 안산시 상록구1,경기도 안산시 상록구 본오동(본원초교 부근),3,3,0,1,2,0,37.291460766502,126.86300000165,"{""type"":""Polygon"",""coordinates"":[[[126.86569495,37.29146077],[126.86564316,37.29104249],[126.86548981,37.29064029],[126.86524077,37.29026961],[126.86490562,37.28994471],[126.86449723,37.28967807],[126.86403131,37.28947994],[126.86352576,37.28935793],[126.863,37.28931673],[126.86247424,37.28935793],[126.86196869,37.28947994],[126.86150277,37.28967807],[126.86109439,37.28994471],[126.86075924,37.29026961],[126.8605102,37.29064029],[126.86035684,37.29104249],[126.86030506,37.29146077],[126.86035684,37.29187904],[126.8605102,37.29228124],[126.86075924,37.2926519],[126.86109439,37.29297679],[126.86150277,37.29324342],[126.86196869,37.29344154],[126.86247424,37.29356354],[126.863,37.29360474],[126.86352576,37.29356354],[126.86403131,37.29344154],[126.86449723,37.29324342],[126.86490562,37.29297679],[126.86524077,37.2926519],[126.86548981,37.29228124],[126.86564316,37.29187904],[126.86569495,37.29146077]]]}"
시흥시,정왕동,2017,스쿨존내어린이사고다발지,6394245,2018027,4139013200,41390001,경기도 시흥시1,경기도 시흥시 정왕동(보람유치원 부근),1,1,1,0,0,0,37.342912826167,126.754218608603,"{""type"":""Polygon"",""coordinates"":[[[126.75691355,37.34291283],[126.75686177,37.34249484],[126.75670841,37.34209291],[126.75645937,37.34172249],[126.75612422,37.34139781],[126.75571584,37.34113135],[126.75524992,37.34093336],[126.75474437,37.34081143],[126.75421861,37.34077026],[126.75369285,37.34081143],[126.7531873,37.34093336],[126.75272138,37.34113135],[126.75231299,37.34139781],[126.75197784,37.34172249],[126.7517288,37.34209291],[126.75157545,37.34249484],[126.75152366,37.34291283],[126.75157545,37.34333081],[126.7517288,37.34373273],[126.75197784,37.34410314],[126.75231299,37.34442781],[126.75272138,37.34469426],[126.7531873,37.34489224],[126.75369285,37.34501416],[126.75421861,37.34505533],[126.75474437,37.34501416],[126.75524992,37.34489224],[126.75571584,37.34469426],[126.75612422,37.34442781],[126.75645937,37.34410314],[126.75670841,37.34373273],[126.75686177,37.34333081],[126.75691355,37.34291283]]]}"
성남시,중원구,2017,스쿨존내어린이사고다발지,6394251,2018027,4113310400,41133001,경기도 성남시 중원구1,경기도 성남시 중원구 은행동(중부초교 부근),1,1,1,0,0,0,37.450731226965,127.165031940972,"{""type"":""Polygon"",""coordinates"":[[[127.16772689,37.45073123],[127.1676751,37.45031384],[127.16752175,37.44991249],[127.16727271,37.4495426],[127.16693756,37.44921839],[127.16652917,37.44895231],[127.16606325,37.4487546],[127.1655577,37.44863285],[127.16503194,37.44859174],[127.16450618,37.44863285],[127.16400063,37.4487546],[127.16353471,37.44895231],[127.16312633,37.44921839],[127.16279118,37.4495426],[127.16254214,37.44991249],[127.16238878,37.45031384],[127.162337,37.45073123],[127.16238878,37.45114861],[127.16254214,37.45154996],[127.16279118,37.45191983],[127.16312633,37.45224403],[127.16353471,37.4525101],[127.16400063,37.4527078],[127.16450618,37.45282954],[127.16503194,37.45287065],[127.1655577,37.45282954],[127.16606325,37.4527078],[127.16652917,37.4525101],[127.16693756,37.45224403],[127.16727271,37.45191983],[127.16752175,37.45154996],[127.1676751,37.45114861],[127.16772689,37.45073123]]]}"
구리시,인창동,2017,스쿨존내어린이사고다발지,6394234,2018027,4131010300,41310001,경기도 구리시1,경기도 구리시 인창동(동인초교 부근),2,2,0,1,1,0,37.610915785336,127.133115238978,"{""type"":""Polygon"",""coordinates"":[[[127.13581018,37.61091579],[127.1357584,37.61049929],[127.13560504,37.6100988],[127.135356,37.60972971],[127.13502085,37.60940619],[127.13461247,37.60914069],[127.13414655,37.6089434],[127.133641,37.60882191],[127.13311524,37.60878089],[127.13258948,37.60882191],[127.13208393,37.6089434],[127.13161801,37.60914069],[127.13120962,37.60940619],[127.13087447,37.60972971],[127.13062543,37.6100988],[127.13047208,37.61049929],[127.13042029,37.61091579],[127.13047208,37.61133228],[127.13062543,37.61173276],[127.13087447,37.61210184],[127.13120962,37.61242535],[127.13161801,37.61269084],[127.13208393,37.61288812],[127.13258948,37.6130096],[127.13311524,37.61305062],[127.133641,37.6130096],[127.13414655,37.61288812],[127.13461247,37.61269084],[127.13502085,37.61242535],[127.135356,37.61210184],[127.13560504,37.61173276],[127.1357584,37.61133228],[127.13581018,37.61091579]]]}"
안산시,단원구,2017,스쿨존내어린이사고다발지,6393997,2018027,4127310900,41273001,경기도 안산시 단원구1,경기도 안산시 단원구 선부동(석수초교 부근),2,2,0,2,0,0,37.34431840627,126.805472099759,"{""type"":""Polygon"",""coordinates"":[[[126.80816705,37.34431841],[126.80811526,37.34390043],[126.80796191,37.3434985],[126.80771287,37.34312809],[126.80737771,37.34280342],[126.80696933,37.34253697],[126.80650341,37.34233897],[126.80599786,37.34221705],[126.8054721,37.34217588],[126.80494634,37.34221705],[126.80444079,37.34233897],[126.80397487,37.34253697],[126.80356649,37.34280342],[126.80323133,37.34312809],[126.80298229,37.3434985],[126.80282894,37.34390043],[126.80277715,37.34431841],[126.80282894,37.34473638],[126.80298229,37.3451383],[126.80323133,37.3455087],[126.80356649,37.34583336],[126.80397487,37.3460998],[126.80444079,37.34629779],[126.80494634,37.3464197],[126.8054721,37.34646087],[126.80599786,37.3464197],[126.80650341,37.34629779],[126.80696933,37.3460998],[126.80737771,37.34583336],[126.80771287,37.3455087],[126.80796191,37.3451383],[126.80811526,37.34473638],[126.80816705,37.34431841]]]}"
안산시,단원구,2017,스쿨존내어린이사고다발지,6394556,2018027,4127310200,41273002,경기도 안산시 단원구2,경기도 안산시 단원구 와동(덕인초교 부근),2,2,0,0,2,0,37.340281280358,126.823144531596,"{""type"":""Polygon"",""coordinates"":[[[126.82583948,37.34028128],[126.82578769,37.33986328],[126.82563434,37.33946133],[126.8253853,37.3390909],[126.82505015,37.33876621],[126.82464176,37.33849974],[126.82417584,37.33830174],[126.82367029,37.33817981],[126.82314453,37.33813864],[126.82261877,37.33817981],[126.82211322,37.33830174],[126.8216473,37.33849974],[126.82123892,37.33876621],[126.82090377,37.3390909],[126.82065473,37.33946133],[126.82050137,37.33986328],[126.82044959,37.34028128],[126.82050137,37.34069928],[126.82065473,37.34110122],[126.82090377,37.34147164],[126.82123892,37.34179632],[126.8216473,37.34206277],[126.82211322,37.34226077],[126.82261877,37.34238269],[126.82314453,37.34242386],[126.82367029,37.34238269],[126.82417584,37.34226077],[126.82464176,37.34206277],[126.82505015,37.34179632],[126.8253853,37.34147164],[126.82563434,37.34110122],[126.82578769,37.34069928],[126.82583948,37.34028128]]]}"
이천시,송정동,2016,스쿨존내어린이사고다발지,6230087,2017026,4150011000,41500001,경기도 이천시1,경기도 이천시 송정동(송정초교 부근),2,2,0,1,1,0,37.294346083906,127.433894092639,"{""type"":""Polygon"",""coordinates"":[[[127.43658904,37.29434608],[127.43653726,37.29392782],[127.4363839,37.29352564],[127.43613486,37.29315498],[127.43579971,37.29283009],[127.43539132,37.29256346],[127.4349254,37.29236533],[127.43441985,37.29224333],[127.43389409,37.29220213],[127.43336833,37.29224333],[127.43286278,37.29236533],[127.43239686,37.29256346],[127.43198848,37.29283009],[127.43165333,37.29315498],[127.43140429,37.29352564],[127.43125093,37.29392782],[127.43119915,37.29434608],[127.43125093,37.29476434],[127.43140429,37.29516652],[127.43165333,37.29553717],[127.43198848,37.29586205],[127.43239686,37.29612867],[127.43286278,37.29632678],[127.43336833,37.29644878],[127.43389409,37.29648997],[127.43441985,37.29644878],[127.4349254,37.29632678],[127.43539132,37.29612867],[127.43579971,37.29586205],[127.43613486,37.29553717],[127.4363839,37.29516652],[127.43653726,37.29476434],[127.43658904,37.29434608]]]}"
안산시,단원구,2016,스쿨존내어린이사고다발지,6229776,2017026,4127310200,41273003,경기도 안산시 단원구3,경기도 안산시 단원구 와동(와동초교 부근),2,2,0,0,2,0,37.336341400836,126.830516120624,"{""type"":""Polygon"",""coordinates"":[[[126.83321107,37.3363414],[126.83315928,37.33592338],[126.83300593,37.33552141],[126.83275689,37.33515096],[126.83242174,37.33482625],[126.83201335,37.33455977],[126.83154743,37.33436176],[126.83104188,37.33423982],[126.83051612,37.33419865],[126.82999036,37.33423982],[126.82948481,37.33436176],[126.82901889,37.33455977],[126.82861051,37.33482625],[126.82827536,37.33515096],[126.82802632,37.33552141],[126.82787296,37.33592338],[126.82782117,37.3363414],[126.82787296,37.33675942],[126.82802632,37.33716138],[126.82827536,37.33753182],[126.82861051,37.33785652],[126.82901889,37.33812299],[126.82948481,37.33832099],[126.82999036,37.33844292],[126.83051612,37.33848409],[126.83104188,37.33844292],[126.83154743,37.33832099],[126.83201335,37.33812299],[126.83242174,37.33785652],[126.83275689,37.33753182],[126.83300593,37.33716138],[126.83315928,37.33675942],[126.83321107,37.3363414]]]}"
안산시,단원구,2016,스쿨존내어린이사고다발지,6230086,2017026,4127310200,41273002,경기도 안산시 단원구2,경기도 안산시 단원구 와동(화랑초교 부근),2,4,0,3,1,0,37.331603631104,126.817938916549,"{""type"":""Polygon"",""coordinates"":[[[126.82063386,37.33160363],[126.82058208,37.33118558],[126.82042872,37.33078359],[126.82017968,37.33041311],[126.81984453,37.33008839],[126.81943615,37.32982189],[126.81897023,37.32962386],[126.81846467,37.32950192],[126.81793892,37.32946074],[126.81741316,37.32950192],[126.81690761,37.32962386],[126.81644168,37.32982189],[126.8160333,37.33008839],[126.81569815,37.33041311],[126.81544911,37.33078359],[126.81529575,37.33118558],[126.81524397,37.33160363],[126.81529575,37.33202168],[126.81544911,37.33242366],[126.81569815,37.33279413],[126.8160333,37.33311884],[126.81644168,37.33338533],[126.81690761,37.33358335],[126.81741316,37.33370528],[126.81793892,37.33374646],[126.81846467,37.33370528],[126.81897023,37.33358335],[126.81943615,37.33338533],[126.81984453,37.33311884],[126.82017968,37.33279413],[126.82042872,37.33242366],[126.82058208,37.33202168],[126.82063386,37.33160363]]]}"
