사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
167355,2013114,1117012400,111110001,서울 서울용산1,서울특별시 용산구 한강로1가(전자상가입구 부근),5,5,0,3,2,0,126.968676,37.52971514,"{""type"":""Polygon"",""coordinates"":[[[126.971076,37.5316264],[126.970671,37.5319019],[126.9702169,37.5321235],[126.9697248,37.5322858],[126.9692069,37.5323849],[126.968676,37.5324181],[126.968145,37.5323849],[126.9676271,37.5322858],[126.967135,37.5321235],[126.9666809,37.5319019],[126.9662759,37.5316264],[126.9659301,37.5313039],[126.9656518,37.5309422],[126.965448,37.5305504],[126.9653237,37.5301379],[126.9652819,37.5297151],[126.9653237,37.5292923],[126.9654481,37.5288798],[126.9656519,37.528488],[126.9659302,37.5281263],[126.9662761,37.5278038],[126.966681,37.5275283],[126.9671351,37.5273067],[126.9676272,37.5271444],[126.968145,37.5270454],[126.968676,37.5270121],[126.9692069,37.5270454],[126.9697247,37.5271444],[126.9702168,37.5273067],[126.9706709,37.5275283],[126.9710758,37.5278038],[126.9714217,37.5281263],[126.9717,37.528488],[126.9719038,37.5288798],[126.9720282,37.5292923],[126.97207,37.5297151],[126.9720282,37.5301379],[126.9719039,37.5305504],[126.9717001,37.5309422],[126.9714218,37.5313039],[126.971076,37.5316264]]]}"
167057,2013114,1130510300,111112001,서울 서울강북1,서울특별시 강북구 수유동(국민마트 부근),5,6,0,5,1,0,127.016493,37.64250214,"{""type"":""Polygon"",""coordinates"":[[[127.0188966,37.6444134],[127.018491,37.6446889],[127.0180362,37.6449105],[127.0175434,37.6450728],[127.0170248,37.6451718],[127.016493,37.6452051],[127.0159612,37.6451718],[127.0154426,37.6450728],[127.0149498,37.6449105],[127.014495,37.6446889],[127.0140894,37.6444134],[127.013743,37.6440909],[127.0134643,37.6437292],[127.0132602,37.6433374],[127.0131357,37.6429249],[127.0130938,37.6425021],[127.0131357,37.6420793],[127.0132602,37.6416668],[127.0134644,37.641275],[127.0137431,37.6409134],[127.0140895,37.6405908],[127.0144951,37.6403154],[127.0149499,37.6400938],[127.0154426,37.6399315],[127.0159613,37.6398325],[127.016493,37.6397992],[127.0170247,37.6398325],[127.0175434,37.6399315],[127.0180361,37.6400938],[127.0184909,37.6403154],[127.0188965,37.6405908],[127.0192429,37.6409134],[127.0195216,37.641275],[127.0197258,37.6416668],[127.0198503,37.6420793],[127.0198922,37.6425021],[127.0198503,37.6429249],[127.0197258,37.6433374],[127.0195217,37.6437292],[127.019243,37.6440909],[127.0188966,37.6444134]]]}"
167087,2013114,1130510100,111112002,서울 서울강북2,서울특별시 강북구 미아동(미아삼거리역 부근),6,7,0,3,4,0,127.0298132,37.61375721,"{""type"":""Polygon"",""coordinates"":[[[127.0322159,37.6156685],[127.0318105,37.6159439],[127.0313558,37.6161656],[127.0308632,37.6163279],[127.0303448,37.6164269],[127.0298132,37.6164602],[127.0292816,37.6164269],[127.0287632,37.6163279],[127.0282706,37.6161656],[127.0278159,37.6159439],[127.0274105,37.6156685],[127.0270642,37.6153459],[127.0267857,37.6149843],[127.0265816,37.6145924],[127.0264572,37.61418],[127.0264154,37.6137572],[127.0264572,37.6133343],[127.0265817,37.6129219],[127.0267858,37.6125301],[127.0270643,37.6121684],[127.0274106,37.6118459],[127.0278161,37.6115704],[127.0282707,37.6113488],[127.0287633,37.6111865],[127.0292817,37.6110875],[127.0298132,37.6110542],[127.0303447,37.6110875],[127.0308632,37.6111865],[127.0313558,37.6113488],[127.0318104,37.6115704],[127.0322158,37.6118459],[127.0325621,37.6121684],[127.0328407,37.6125301],[127.0330447,37.6129219],[127.0331692,37.6133343],[127.0332111,37.6137572],[127.0331692,37.61418],[127.0330448,37.6145924],[127.0328408,37.6149843],[127.0325622,37.6153459],[127.0322159,37.6156685]]]}"
167385,2013114,1130510100,111112003,서울 서울강북3,서울특별시 강북구 미아동(삼다도아구탕 부근),8,9,0,5,3,1,127.0215948,37.6175829,"{""type"":""Polygon"",""coordinates"":[[[127.0239976,37.6194942],[127.0235922,37.6197696],[127.0231375,37.6199912],[127.0226449,37.6201536],[127.0221264,37.6202526],[127.0215948,37.6202859],[127.0210632,37.6202526],[127.0205447,37.6201536],[127.0200521,37.6199912],[127.0195974,37.6197696],[127.019192,37.6194942],[127.0188457,37.6191716],[127.0185671,37.61881],[127.0183631,37.6184181],[127.0182386,37.6180057],[127.0181968,37.6175829],[127.0182386,37.61716],[127.0183631,37.6167476],[127.0185672,37.6163557],[127.0188458,37.6159941],[127.0191921,37.6156716],[127.0195976,37.6153961],[127.0200522,37.6151745],[127.0205448,37.6150122],[127.0210633,37.6149132],[127.0215948,37.6148799],[127.0221264,37.6149132],[127.0226448,37.6150122],[127.0231374,37.6151745],[127.0235921,37.6153961],[127.0239975,37.6156716],[127.0243438,37.6159941],[127.0246224,37.6163557],[127.0248265,37.6167476],[127.024951,37.61716],[127.0249928,37.6175829],[127.024951,37.6180057],[127.0248266,37.6184181],[127.0246225,37.61881],[127.0243439,37.6191716],[127.0239976,37.6194942]]]}"
167151,2013114,1130510100,111112004,서울 서울강북4,서울특별시 강북구 미아동(미아2동사무소 부근),8,11,0,6,5,0,127.0179329,37.62765914,"{""type"":""Polygon"",""coordinates"":[[[127.0203361,37.6295704],[127.0199306,37.6298459],[127.0194759,37.6300675],[127.0189832,37.6302298],[127.0184646,37.6303288],[127.0179329,37.6303621],[127.0174013,37.6303288],[127.0168827,37.6302298],[127.01639,37.6300675],[127.0159353,37.6298459],[127.0155298,37.6295704],[127.0151835,37.6292479],[127.0149048,37.6288862],[127.0147008,37.6284944],[127.0145763,37.6280819],[127.0145345,37.6276591],[127.0145763,37.6272363],[127.0147008,37.6268238],[127.0149049,37.626432],[127.0151836,37.6260703],[127.0155299,37.6257478],[127.0159354,37.6254724],[127.0163901,37.6252508],[127.0168828,37.6250885],[127.0174013,37.6249895],[127.0179329,37.6249562],[127.0184646,37.6249895],[127.0189831,37.6250885],[127.0194758,37.6252508],[127.0199305,37.6254724],[127.020336,37.6257478],[127.0206823,37.6260703],[127.020961,37.626432],[127.0211651,37.6268238],[127.0212896,37.6272363],[127.0213314,37.6276591],[127.0212896,37.6280819],[127.0211651,37.6284944],[127.0209611,37.6288862],[127.0206824,37.6292479],[127.0203361,37.6295704]]]}"
167181,2013114,1123010200,111113001,서울 서울동대문1,서울특별시 동대문구 용두동(성동구청 부근),4,4,0,3,1,0,127.0362354,37.57184403,"{""type"":""Polygon"",""coordinates"":[[[127.0386367,37.5737553],[127.0382315,37.5740308],[127.0377771,37.5742524],[127.0372848,37.5744147],[127.0367666,37.5745137],[127.0362354,37.574547],[127.0357041,37.5745137],[127.0351859,37.5744147],[127.0346936,37.5742524],[127.0342392,37.5740308],[127.033834,37.5737553],[127.0334879,37.5734328],[127.0332095,37.5730711],[127.0330056,37.5726793],[127.0328812,37.5722668],[127.0328394,37.571844],[127.0328812,37.5714211],[127.0330057,37.5710087],[127.0332096,37.5706169],[127.033488,37.5702552],[127.0338341,37.5699327],[127.0342393,37.5696573],[127.0346937,37.5694356],[127.035186,37.5692733],[127.0357041,37.5691743],[127.0362354,37.569141],[127.0367666,37.5691743],[127.0372847,37.5692733],[127.037777,37.5694356],[127.0382314,37.5696573],[127.0386366,37.5699327],[127.0389827,37.5702552],[127.0392611,37.5706169],[127.0394651,37.5710087],[127.0395895,37.5714211],[127.0396313,37.571844],[127.0395895,37.5722668],[127.0394651,37.5726793],[127.0392612,37.5730711],[127.0389828,37.5734328],[127.0386367,37.5737553]]]}"
167472,2013114,1123010600,111113002,서울 서울동대문2,서울특별시 동대문구 장안동(장안APT 부근),4,4,0,3,1,0,127.0744755,37.57216833,"{""type"":""Polygon"",""coordinates"":[[[127.0768769,37.5740796],[127.0764717,37.5743551],[127.0760173,37.5745767],[127.075525,37.574739],[127.0750068,37.574838],[127.0744755,37.5748713],[127.0739443,37.574838],[127.0734261,37.574739],[127.0729338,37.5745767],[127.0724794,37.5743551],[127.0720742,37.5740796],[127.0717281,37.5737571],[127.0714497,37.5733954],[127.0712457,37.5730036],[127.0711214,37.5725911],[127.0710796,37.5721683],[127.0711214,37.5717454],[127.0712458,37.571333],[127.0714498,37.5709412],[127.0717282,37.5705795],[127.0720743,37.570257],[127.0724795,37.5699816],[127.0729338,37.5697599],[127.0734262,37.5695976],[127.0739443,37.5694986],[127.0744755,37.5694653],[127.0750068,37.5694986],[127.0755249,37.5695976],[127.0760172,37.5697599],[127.0764716,37.5699816],[127.0768768,37.570257],[127.0772229,37.5705795],[127.0775013,37.5709412],[127.0777052,37.571333],[127.0778297,37.5717454],[127.0778715,37.5721683],[127.0778297,37.5725911],[127.0777053,37.5730036],[127.0775014,37.5733954],[127.077223,37.5737571],[127.0768769,37.5740796]]]}"
167440,2013114,1123010800,111113003,서울 서울동대문3,서울특별시 동대문구 회기동(시조사삼거리_일반국도6호선_진 부근),8,8,0,6,2,0,127.0537932,37.58804582,"{""type"":""Polygon"",""coordinates"":[[[127.0561951,37.5899571],[127.0557898,37.5902326],[127.0553353,37.5904542],[127.0548429,37.5906165],[127.0543246,37.5907155],[127.0537932,37.5907488],[127.0532618,37.5907155],[127.0527435,37.5906165],[127.0522511,37.5904542],[127.0517966,37.5902326],[127.0513913,37.5899571],[127.0510452,37.5896346],[127.0507667,37.5892729],[127.0505627,37.588881],[127.0504383,37.5884686],[127.0503965,37.5880458],[127.0504383,37.5876229],[127.0505628,37.5872105],[127.0507668,37.5868187],[127.0510453,37.586457],[127.0513914,37.5861345],[127.0517967,37.585859],[127.0522512,37.5856374],[127.0527436,37.5854751],[127.0532619,37.5853761],[127.0537932,37.5853428],[127.0543245,37.5853761],[127.0548428,37.5854751],[127.0553352,37.5856374],[127.0557897,37.585859],[127.0561949,37.5861345],[127.0565411,37.586457],[127.0568196,37.5868187],[127.0570236,37.5872105],[127.057148,37.5876229],[127.0571899,37.5880458],[127.0571481,37.5884686],[127.0570237,37.588881],[127.0568197,37.5892729],[127.0565412,37.5896346],[127.0561951,37.5899571]]]}"
167238,2013114,1121510300,111114001,서울 서울광진1,서울특별시 광진구 구의동(올림픽대교북단사거리_아차성길_ 부근),4,4,0,3,1,0,127.0966676,37.54132986,"{""type"":""Polygon"",""coordinates"":[[[127.099068,37.5432411],[127.0986629,37.5435166],[127.0982087,37.5437382],[127.0977166,37.5439006],[127.0971986,37.5439996],[127.0966676,37.5440329],[127.0961365,37.5439996],[127.0956186,37.5439006],[127.0951264,37.5437382],[127.0946723,37.5435166],[127.0942672,37.5432411],[127.0939213,37.5429186],[127.093643,37.542557],[127.0934391,37.5421651],[127.0933148,37.5417527],[127.093273,37.5413298],[127.0933148,37.540907],[127.0934392,37.5404945],[127.0936431,37.5401027],[127.0939214,37.539741],[127.0942673,37.5394185],[127.0946724,37.5391431],[127.0951265,37.5389215],[127.0956186,37.5387591],[127.0961366,37.5386601],[127.0966676,37.5386269],[127.0971986,37.5386601],[127.0977165,37.5387591],[127.0982086,37.5389215],[127.0986628,37.5391431],[127.0990678,37.5394185],[127.0994138,37.539741],[127.0996921,37.5401027],[127.099896,37.5404945],[127.1000203,37.540907],[127.1000621,37.5413298],[127.1000204,37.5417527],[127.099896,37.5421651],[127.0996922,37.542557],[127.0994139,37.5429186],[127.099068,37.5432411]]]}"
167363,2013114,1144010800,111115001,서울 서울마포1,서울특별시 마포구 대흥동(마포세무서앞 부근),4,4,0,1,2,1,126.9410516,37.54656358,"{""type"":""Polygon"",""coordinates"":[[[126.9434521,37.5484749],[126.9430471,37.5487503],[126.9425928,37.548972],[126.9421007,37.5491343],[126.9415827,37.5492333],[126.9410516,37.5492666],[126.9405205,37.5492333],[126.9400025,37.5491343],[126.9395103,37.548972],[126.9390561,37.5487503],[126.938651,37.5484749],[126.9383051,37.5481523],[126.9380267,37.5477907],[126.9378229,37.5473988],[126.9376986,37.5469864],[126.9376568,37.5465635],[126.9376986,37.5461407],[126.937823,37.5457283],[126.9380268,37.5453364],[126.9383052,37.5449748],[126.9386512,37.5446522],[126.9390562,37.5443768],[126.9395104,37.5441552],[126.9400026,37.5439929],[126.9405205,37.5438939],[126.9410516,37.5438606],[126.9415826,37.5438939],[126.9421006,37.5439929],[126.9425927,37.5441552],[126.9430469,37.5443768],[126.943452,37.5446522],[126.943798,37.5449748],[126.9440763,37.5453364],[126.9442802,37.5457283],[126.9444046,37.5461407],[126.9444464,37.5465635],[126.9444046,37.5469864],[126.9442803,37.5473988],[126.9440764,37.5477907],[126.9437981,37.5481523],[126.9434521,37.5484749]]]}"
