,Unnamed: 0,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,lat,lon,geometry
19,155,2019092700100458,2019년 9월 27일 16시,금요일,경기도 오산시 원동,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,51세,상해없음,자전거,남,10,부상신고,37.13880640866336,127.07325865264627,"(37.13880640866336, 127.07325865264627)"
20,157,2019100400100382,2019년 10월 4일 14시,금요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,53세,상해없음,자전거,남,10,경상,37.177777579549215,127.04958155144249,"(37.177777579549215, 127.04958155144249)"
21,159,2019101000100394,2019년 10월 10일 15시,목요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,49세,상해없음,자전거,남,11,경상,37.15561724547823,127.07161305874148,"(37.15561724547823, 127.07161305874148)"
22,160,2019101400100496,2019년 10월 14일 17시,월요일,경기도 오산시 가수동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,40세,상해없음,자전거,남,9,중상,37.145639242604325,127.0491796349043,"(37.145639242604325, 127.0491796349043)"
23,165,2019110600100490,2019년 11월 6일 17시,수요일,경기도 오산시 수청동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,40세,상해없음,자전거,남,12,중상,37.16935544017448,127.0658105190431,"(37.16935544017448, 127.0658105190431)"
24,175,2014012600100299,2014년 1월 26일 17시,일요일,경기도 오산시 세교동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,42세,상해없음,자전거,남,7,경상,37.18651745027898,127.03889438361358,"(37.18651745027898, 127.03889438361358)"
25,185,2014040400100359,2014년 4월 4일 15시,금요일,경기도 오산시 가수동,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,34세,상해없음,자전거,남,12,경상,37.1469281106274,127.04675041840828,"(37.1469281106274, 127.04675041840828)"
26,194,2014050800100491,2014년 5월 8일 18시,목요일,경기도 오산시 부산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,53세,상해없음,자전거,여,11,경상,37.15697008534593,127.07895484031208,"(37.15697008534593, 127.07895484031208)"
27,198,2014052700100501,2014년 5월 27일 18시,화요일,경기도 오산시 궐동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,자전거,남,12,경상,37.15679769616514,127.05721550301207,"(37.15679769616514, 127.05721550301207)"
28,199,2014052900100558,2014년 5월 29일 20시,목요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,38세,상해없음,자전거,남,6,경상,37.15499389177464,127.081015129515,"(37.15499389177464, 127.081015129515)"
29,202,2014060900100488,2014년 6월 9일 19시,월요일,경기도 오산시 원동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,자전거,남,10,경상,37.14457775253834,127.08560423945326,"(37.14457775253834, 127.08560423945326)"
30,221,2014091700100364,2014년 9월 17일 16시,수요일,경기도 오산시 수청동,경상사고,0,0,1,0,차대차 - 측면직각충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,자전거,여,7,경상,37.16448127662349,127.06215955689396,"(37.16448127662349, 127.06215955689396)"
31,234,2014112000100336,2014년 11월 20일 14시,목요일,경기도 오산시 세교동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,52세,상해없음,자전거,남,7,경상,37.18640918621337,127.04111600618992,"(37.18640918621337, 127.04111600618992)"
32,246,2015022800100323,2015년 2월 28일 16시,토요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,33세,상해없음,자전거,남,11,경상,37.14882151691799,127.07731349906132,"(37.14882151691799, 127.07731349906132)"
33,258,2015061400100387,2015년 6월 14일 18시,일요일,경기도 오산시 궐동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,33세,상해없음,자전거,남,11,중상,37.15929368438811,127.05909665673192,"(37.15929368438811, 127.05909665673192)"
34,260,2015070300100510,2015년 7월 3일 19시,금요일,경기도 오산시 원동,중상사고,0,1,0,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,52세,상해없음,자전거,남,10,중상,37.13338202473286,127.06949850173592,"(37.13338202473286, 127.06949850173592)"
35,263,2015073000100410,2015년 7월 30일 16시,목요일,경기도 오산시 원동,중상사고,0,1,0,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,48세,상해없음,자전거,여,9,중상,37.13574043326266,127.07808408431356,"(37.13574043326266, 127.07808408431356)"
36,264,2015091300100196,2015년 9월 13일 11시,일요일,경기도 오산시 누읍동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,48세,상해없음,자전거,남,7,경상,37.14150239742874,127.047397542091,"(37.14150239742874, 127.047397542091)"
37,276,2015121600100445,2015년 12월 16일 18시,수요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 정면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,67세,상해없음,자전거,남,6,중상,37.156133435327405,127.07704279984527,"(37.156133435327405, 127.07704279984527)"
38,306,2016072100100468,2016년 7월 21일 18시,목요일,경기도 오산시 원동,중상사고,0,1,0,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,28세,상해없음,자전거,남,12,중상,37.13875895204997,127.07021665135984,"(37.13875895204997, 127.07021665135984)"
39,309,2016080800100454,2016년 8월 8일 18시,월요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,61세,상해없음,자전거,남,7,경상,37.14848791075588,127.0653023591729,"(37.14848791075588, 127.0653023591729)"
40,310,2016081100100257,2016년 8월 11일 13시,목요일,경기도 오산시 원동,경상사고,0,0,1,0,차대차 - 기타,과속,포장 - 건조,맑음,단일로 - 기타,승용,남,45세,상해없음,자전거,남,6,경상,37.13820652900559,127.07198825133128,"(37.13820652900559, 127.07198825133128)"
41,315,2016091300100350,2016년 9월 13일 14시,화요일,경기도 오산시 수청동,중상사고,0,1,0,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,50세,상해없음,자전거,남,12,중상,37.1604160929663,127.064918092424,"(37.1604160929663, 127.064918092424)"
42,326,2016102600100419,2016년 10월 26일 16시,수요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,자전거,남,9,경상,37.17751318991254,127.0465729548676,"(37.17751318991254, 127.0465729548676)"
43,327,2016111400100432,2016년 11월 14일 17시,월요일,경기도 오산시 세교동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,포장 - 습기,비,교차로 - 교차로안,승용,여,56세,상해없음,자전거,남,7,경상,37.183207815923645,127.04103104893676,"(37.183207815923645, 127.04103104893676)"
44,342,2011040100100376,2011년 4월 1일 17시,금요일,경기도 오산시 오산동,부상신고사고,0,0,0,1,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,단일로 - 횡단보도상,승용,여,61세,상해없음,자전거,남,12,부상신고,37.15362747811498,127.07483433871448,"(37.15362747811498, 127.07483433871448)"
45,352,2011052500100314,2011년 5월 25일 16시,수요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,46세,상해없음,자전거,남,12,중상,37.15883606497248,127.07879967303192,"(37.15883606497248, 127.07879967303192)"
46,358,2011061500100129,2011년 6월 15일 08시,수요일,경기도 오산시 부산동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,기타불명,기타불명,자전거,남,12,부상신고,37.13982234569751,127.08221169165972,"(37.13982234569751, 127.08221169165972)"
47,388,2012030900100357,2012년 3월 9일 18시,금요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도부근,승용,남,28세,상해없음,자전거,남,11,중상,37.15814125793247,127.0762332435144,"(37.15814125793247, 127.0762332435144)"
48,395,2012043000100505,2012년 4월 30일 18시,월요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 측면직각충돌,기타,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,46세,상해없음,자전거,남,8,경상,37.14883311712544,127.07801212409484,"(37.14883311712544, 127.07801212409484)"
49,406,2012072300100304,2012년 7월 23일 14시,월요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,68세,상해없음,자전거,남,12,중상,37.13940243064315,127.0783600827482,"(37.13940243064315, 127.0783600827482)"
50,412,2012080900100365,2012년 8월 9일 17시,목요일,경기도 오산시 탑동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,51세,상해없음,자전거,여,9,경상,37.1323033747424,127.05157863715046,"(37.1323033747424, 127.05157863715046)"
51,415,2012081900100328,2012년 8월 19일 18시,일요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,흐림,단일로 - 횡단보도상,승용,남,49세,상해없음,자전거,남,9,중상,37.15913362625252,127.0787982928235,"(37.15913362625252, 127.0787982928235)"
52,457,2013061500100370,2013년 6월 15일 14시,토요일,경기도 오산시 서동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,17세,상해없음,자전거,여,7,경상,37.14419212834815,127.04351900200692,"(37.14419212834815, 127.04351900200692)"
53,467,2013080500100424,2013년 8월 5일 18시,월요일,경기도 오산시 고현동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,52세,상해없음,자전거,여,8,중상,37.13080045651426,127.08838187782789,"(37.13080045651426, 127.08838187782789)"
54,474,2013100500100253,2013년 10월 5일 11시,토요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,40세,상해없음,자전거,남,5,경상,37.14957439351074,127.07365880169998,"(37.14957439351074, 127.07365880169998)"
55,507,2008061400100486,2008년 6월 14일 17시,토요일,경기도 오산시 원동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,33세,상해없음,자전거,여,9,경상,37.14096524395289,127.08158672439768,"(37.14096524395289, 127.08158672439768)"
56,512,2008071700100510,2008년 7월 17일 19시,목요일,경기도 오산시 부산동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,50세,상해없음,자전거,남,5,경상,37.13670196850792,127.08456956288391,"(37.13670196850792, 127.08456956288391)"
57,514,2008072000100451,2008년 7월 20일 17시,일요일,경기도 오산시 궐동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,원동기,기타불명,기타불명,기타불명,자전거,남,12,경상,37.15987653581328,127.06530389487028,"(37.15987653581328, 127.06530389487028)"
58,528,2008121700100412,2008년 12월 17일 18시,수요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승합,여,42세,상해없음,자전거,남,9,경상,37.15347375265157,127.07714534825722,"(37.15347375265157, 127.07714534825722)"
59,553,2009060200100416,2009년 6월 2일 17시,화요일,경기도 오산시 갈곶동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도상,원동기,남,69세,상해없음,자전거,여,10,경상,37.13136661053821,127.06828001885196,"(37.13136661053821, 127.06828001885196)"
60,581,2009102900100331,2009년 10월 29일 15시,목요일,경기도 오산시 갈곶동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,36세,상해없음,자전거,남,12,경상,37.13225782000536,127.07028122135462,"(37.13225782000536, 127.07028122135462)"
61,614,2010061700100581,2010년 6월 17일 21시,목요일,경기도 오산시,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도상,승용,기타불명,기타불명,기타불명,자전거,남,11,경상,37.15886344892481,127.07888970972746,"(37.15886344892481, 127.07888970972746)"
62,616,2010062300100313,2010년 6월 23일 15시,수요일,경기도 오산시 갈곶동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,50세,상해없음,자전거,남,8,경상,37.1321172293076,127.0664738108299,"(37.1321172293076, 127.0664738108299)"
63,617,2010062400100365,2010년 6월 24일 17시,목요일,경기도 오산시 갈곶동,중상사고,0,1,0,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,49세,상해없음,자전거,남,7,중상,37.130928467947285,127.06926227240436,"(37.130928467947285, 127.06926227240436)"
64,667,2007062500100504,2007년 6월 25일 21시,월요일,경기도 오산시 청호동,중상사고,0,1,0,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,24세,상해없음,자전거,남,6,중상,37.129660933310944,127.08745189699636,"(37.129660933310944, 127.08745189699636)"
