,0,1,2
128,206068.2516,405047.9911,2.02E+15
,,,
129,205735.8094,407005.0147,2.02E+15
,,,
130,206127.5494,406894.035,2.02E+15
,,,
131,206117.1613,404689.1065,2.02E+15
,,,
132,207209.6099,404116.6329,2.02E+15
,,,
133,206700.3229,405651.56,2.02E+15
,,,
134,207483.5599,406994.2202,2.02E+15
,,,
135,204431.3596,408889.8843,2.02E+15
,,,
136,207340.4169,403973.2647,2.02E+15
,,,
137,205776.2615,405593.6691,2.02E+15
,,,
138,204309.306,404905.6699,2.02E+15
,,,
139,205603.73,410045.522,2.02E+15
,,,
140,204727.3058,409301.607,2.02E+15
,,,
141,206527.0178,405506.5895,2.02E+15
,,,
142,202804.1867,407093.6011,2.02E+15
,,,
143,205173.1281,408230.534,2.02E+15
,,,
144,205551.1775,408249.5342,2.02E+15
,,,
145,206077.4368,406152.4771,2.02E+15
,,,
146,203547.3813,404644.5539,2.02E+15
,,,
147,203944.5279,408442.1416,2.02E+15
,,,
148,207201.6597,404106.587,2.02E+15
,,,
149,206728.5112,404099.0923,2.02E+15
,,,
150,204078.3965,404681.3652,2.02E+15
,,,
151,204926.4019,410056.955,2.02E+15
,,,
152,205838.5645,408007.9533,2.02E+15
,,,
153,203946.6533,408608.2182,2.02E+15
,,,
154,204500.1586,408364.0396,2.02E+15
,,,
155,206508.7336,404420.0622,2.02E+15
,,,
156,205872.7511,407975.1205,2.02E+15
,,,
157,204401.1237,408742.6669,2.02E+15
,,,
158,207439.4397,406823.92,2.02E+15
,,,
159,206359.8505,406285.0176,2.02E+15
,,,
160,204369.9002,405177.0961,2.02E+15
,,,
161,205805.5682,408004.7782,2.02E+15
,,,
162,206056.1525,407153.7617,2.02E+15
,,,
163,207602.7855,406011.4574,2.02E+15
,,,
164,206473.5435,405782.4172,2.02E+15
,,,
165,205842.6153,407808.8958,2.02E+15
,,,
166,206506.284,406213.7608,2.02E+15
,,,
167,207691.5029,406641.1755,2.02E+15
,,,
168,205120.2295,408776.471,2.02E+15
,,,
169,203635.6369,409346.8695,2.02E+15
,,,
170,206238.1444,403372.2217,2.02E+15
,,,
171,205147.3943,406849.8527,2.02E+15
