,0,1,2
,,,
0,202708.2527,409160.9072,2.01E+15
,,,
1,206267.6149,404994.0198,2.01E+15
,,,
2,206155.1454,405264.5346,2.01E+15
,,,
3,203451.6392,409712.0431,2.01E+15
,,,
4,204245.7345,408804.8723,2.01E+15
,,,
5,205466.9422,405631.0544,2.01E+15
,,,
6,206560.2562,404704.4463,2.01E+15
,,,
7,203926.646,408608.1127,2.01E+15
,,,
8,203150.4344,407072.4174,2.01E+15
,,,
9,205640.7331,410047.718,2.01E+15
,,,
10,206960.6075,404098.3142,2.01E+15
,,,
11,205923.2273,405421.375,2.01E+15
,,,
12,206537.4565,404095.0845,2.01E+15
,,,
13,204154.0623,405320.0155,2.01E+15
,,,
14,205828.1721,408461.078,2.01E+15
,,,
15,205211.318,408007.6472,2.01E+15
,,,
16,206947.6027,404098.2457,2.01E+15
,,,
17,207397.3235,405514.1772,2.01E+15
,,,
18,207057.3964,406423.7479,2.01E+15
,,,
19,206965.9796,405546.9179,2.01E+15
,,,
20,206936.2901,405485.7372,2.01E+15
,,,
21,207614.9833,404645.9783,2.01E+15
,,,
22,207011.3161,406435.5098,2.01E+15
,,,
23,205466.6993,406436.3717,2.01E+15
,,,
24,200832.7825,409490.1484,2.01E+15
,,,
25,206337.9801,403600.838,2.01E+15
,,,
26,205081.6579,406415.3346,2.01E+15
,,,
27,207194.5434,406216.3881,2.01E+15
,,,
28,207113.3856,404911.4419,2.01E+15
,,,
29,207666.4831,406643.0444,2.01E+15
,,,
30,207603.7924,405061.0846,2.01E+15
,,,
31,204377.3245,405097.1036,2.01E+15
,,,
32,205633.5329,407239.5686,2.01E+15
,,,
33,205382.6635,405677.6288,2.01E+15
,,,
34,206931.5478,405246.6173,2.01E+15
,,,
35,205402.7591,405850.8032,2.01E+15
,,,
36,203737.3236,408655.1332,2.01E+15
,,,
37,206544.0241,405506.6791,2.01E+15
,,,
38,205599.8318,404143.1657,2.01E+15
,,,
39,205296.4806,410449.0615,2.01E+15
,,,
40,206528.625,404442.1757,2.01E+15
,,,
41,206856.3936,406029.5323,2.01E+15
,,,
42,204162.2457,408322.2419,2.01E+15
,,,
43,205924.2382,405419.3796,2.01E+15
,,,
44,207953.6106,406640.5563,2.01E+15
,,,
45,206487.9219,404192.8624,2.01E+15
,,,
46,204630.8232,405021.409,2.01E+15
,,,
47,204383.038,404962.0805,2.01E+15
,,,
48,206534.0362,405503.6253,2.01E+15
,,,
49,205519.338,407267.978,2.01E+15
,,,
50,206400.4912,404837.6577,2.01E+15
,,,
51,206601.5565,405409.9438,2.01E+15
,,,
52,209682.8623,402166.8777,2.01E+15
,,,
53,206273.5814,403861.6023,2.01E+15
,,,
54,206476.2495,404129.7759,2.01E+15
,,,
55,206223.56,406709.4677,2.01E+15
,,,
56,203938.7783,408963.3166,2.01E+15
,,,
57,204143.1874,408711.2948,2.01E+15
,,,
58,205692.9481,406785.702,2.01E+15
,,,
59,206468.8896,405716.3665,2.01E+15
,,,
60,203684.6958,409908.3492,2.01E+15
,,,
61,206844.7395,406342.5952,2.01E+15
,,,
62,203648.7798,409700.0778,2.01E+15
,,,
63,205790.8528,407380.4534,2.01E+15
,,,
64,205105.006,406730.5822,2.01E+15
,,,
65,205627.5269,404013.2601,2.01E+15
,,,
66,204819.8359,403893.9595,2.01E+15
,,,
67,205413.8775,407916.6788,2.01E+15
,,,
68,208083.7889,403579.0224,2.02E+15
,,,
69,206133.5825,403850.8608,2.02E+15
,,,
70,206397.3521,404104.3503,2.02E+15
,,,
71,204869.2175,404774.5673,2.02E+15
,,,
72,203846.4369,410538.4501,2.02E+15
,,,
73,205544.0338,405619.4559,2.02E+15
,,,
74,206867.0221,405531.3905,2.02E+15
,,,
75,206136.5572,403855.8784,2.02E+15
,,,
76,205458.1339,405593.9933,2.02E+15
,,,
77,206960.8931,406322.1991,2.02E+15
,,,
78,205251.2548,406694.3385,2.02E+15
,,,
79,205425.0451,407885.7255,2.02E+15
,,,
80,206269.3576,404093.672,2.02E+15
,,,
81,205492.767,403957.5284,2.02E+15
,,,
82,206353.9986,405117.5238,2.02E+15
,,,
83,206560.2615,404703.446,2.02E+15
,,,
84,204195.8745,408774.5975,2.02E+15
,,,
85,205833.5398,408202.0037,2.02E+15
,,,
86,205248.2643,406692.3219,2.02E+15
,,,
87,207053.389,403007.3694,2.02E+15
,,,
88,206175.7719,403818.0699,2.02E+15
,,,
89,204090.5303,405036.5691,2.02E+15
,,,
90,206762.2939,404712.5137,2.02E+15
,,,
91,206937.6938,404080.1864,2.02E+15
,,,
92,204212.2558,404718.0847,2.02E+15
,,,
93,204402.199,404743.095,2.02E+15
,,,
94,206354.9885,405119.5298,2.02E+15
,,,
95,206074.3844,405972.3896,2.02E+15
,,,
96,203821.6596,409166.7793,2.02E+15
,,,
97,206679.276,404329.9246,2.02E+15
,,,
98,206974.5494,404110.3925,2.02E+15
,,,
99,206873.9573,406113.6582,2.02E+15
,,,
100,204165.1038,408918.492,2.02E+15
,,,
101,205826.3326,405583.929,2.02E+15
,,,
102,206531.7533,405177.4839,2.02E+15
,,,
103,206271.586,403860.5914,2.02E+15
,,,
104,206841.7384,406342.5794,2.02E+15
,,,
105,206361.8435,405906.8781,2.02E+15
,,,
106,205860.5252,408017.0727,2.02E+15
,,,
107,204679.8663,407863.7893,2.02E+15
,,,
108,206906.6479,406174.8548,2.02E+15
,,,
109,204495.8407,408424.0405,2.02E+15
,,,
110,205466.7207,405673.0698,2.02E+15
,,,
111,205527.5183,408562.5333,2.02E+15
,,,
112,206454.7115,406318.5307,2.02E+15
,,,
113,204832.537,406799.1736,2.02E+15
,,,
114,204868.1961,404778.5635,2.02E+15
,,,
115,205411.0502,408452.876,2.02E+15
,,,
116,205109.2254,408776.4129,2.02E+15
,,,
117,205376.1057,406732.0112,2.02E+15
,,,
118,207278.3298,404175.018,2.02E+15
,,,
119,205660.0157,406011.2219,2.02E+15
,,,
120,203065.183,410528.3263,2.02E+15
,,,
121,205224.6434,410033.5184,2.02E+15
,,,
122,205429.3466,406690.2753,2.02E+15
,,,
123,205456.833,405651.009,2.02E+15
,,,
124,206484.6804,406326.6918,2.02E+15
,,,
125,205080.9745,406924.5322,2.02E+15
,,,
126,206071.1763,406201.4635,2.02E+15
,,,
127,204707.7847,408640.243,2.02E+15
,,,
128,205851.2082,406558.4459,2.02E+15
,,,
129,204373.1069,405138.0976,2.02E+15
,,,
130,207554.3033,404580.6327,2.02E+15
,,,
131,206396.2431,404694.5786,2.02E+15
,,,
132,207605.7848,403733.5668,2.02E+15
,,,
133,207342.4967,403958.2697,2.02E+15
,,,
134,206238.6551,404414.6376,2.02E+15
,,,
135,207506.3676,404944.525,2.02E+15
,,,
136,206003.3238,403890.1904,2.02E+15
,,,
137,205800.7975,405493.7588,2.02E+15
,,,
138,206396.0398,404353.4422,2.02E+15
,,,
139,206734.3196,405654.7404,2.02E+15
,,,
140,205975.7503,408172.7417,2.02E+15
,,,
141,205829.4497,405561.9367,2.02E+15
,,,
142,206618.883,405539.0863,2.02E+15
,,,
143,205764.8112,406817.0931,2.02E+15
,,,
144,209496.8451,402345.9701,2.02E+15
,,,
145,204466.9402,408972.1043,2.02E+15
,,,
146,205689.6992,408540.3795,2.02E+15
,,,
147,206948.9657,404219.301,2.02E+15
,,,
148,203808.0272,410613.2771,2.02E+15
,,,
149,206495.4094,404100.8654,2.02E+15
,,,
150,206670.1743,406436.7128,2.02E+15
,,,
151,205786.7986,407390.436,2.02E+15
,,,
152,203825.6505,409168.8011,2.02E+15
,,,
153,205110.3366,408755.4105,2.02E+15
,,,
154,204134.1735,408713.2481,2.02E+15
,,,
155,203641.6496,409344.9004,2.02E+15
,,,
156,206951.6547,406746.3189,2.02E+15
,,,
157,206525.0061,404749.2785,2.02E+15
,,,
158,204808.4913,408513.7239,2.02E+15
,,,
159,206364.7785,406299.0491,2.02E+15
,,,
160,206125.8474,403989.8751,2.02E+15
,,,
161,205083.1103,408796.2831,2.02E+15
,,,
162,203798.0077,410616.2254,2.02E+15
,,,
163,206902.6411,406175.834,2.02E+15
